City1,City2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num,Date
CAIRNS,MELBOURNE,9/19,84627,481,87.6,2311,195572997,223362772,96652,2019,9,2019/9/19
CAIRNS,SYDNEY,9/19,84384,527,81.4,1971,166320864,204349338,103678,2019,9,2019/9/19
CAIRNS,TOWNSVILLE,9/19,12368,319,60.9,284,3512512,5770312,20318,2019,9,2019/9/19
DUBBO,SYDNEY,9/19,15738,503,67,310,4878780,7276940,23474,2019,9,2019/9/19
DARWIN,MELBOURNE,9/19,27904,175,86.3,3131,87367424,101228361,32331,2019,9,2019/9/19
DARWIN,PERTH,9/19,15054,120,72.6,2651,39908154,54963183,20733,2019,9,2019/9/19
DARWIN,SYDNEY,9/19,29461,208,80.5,3155,92949455,115510860,36612,2019,9,2019/9/19
GERALDTON,PERTH,9/19,0,0,0,370,0,0,0,2019,9,2019/9/19
HOBART,MELBOURNE,9/19,126315,877,79.1,618,78062670,98638980,159610,2019,9,2019/9/19
HOBART,SYDNEY,9/19,55974,434,82.4,1039,58156986,70565763,67917,2019,9,2019/9/19
HAMILTON ISLAND,MELBOURNE,9/19,0,0,0,0,0,0,0,2019,9,2019/9/19
HAMILTON ISLAND,SYDNEY,9/19,20531,161,77,1526,31330306,40686212,26662,2019,9,2019/9/19
KALGOORLIE,PERTH,9/19,23207,329,55.9,538,12485366,22332918,41511,2019,9,2019/9/19
KARRATHA,PERTH,9/19,41667,489,70.4,1250,52083750,74027500,59222,2019,9,2019/9/19
LAUNCESTON,MELBOURNE,9/19,70054,682,80.3,476,33345704,41551944,87294,2019,9,2019/9/19
LAUNCESTON,SYDNEY,9/19,20893,134,87.3,914,19096202,21872020,23930,2019,9,2019/9/19
SUNSHINE COAST,MELBOURNE,9/19,54506,327,92.6,1454,79251724,85556268,58842,2019,9,2019/9/19
SUNSHINE COAST,SYDNEY,9/19,56980,421,83.6,837,47692260,57023973,68129,2019,9,2019/9/19
MELBOURNE,MILDURA,9/19,20249,407,68.9,457,9253793,13429859,29387,2019,9,2019/9/19
MELBOURNE,NEWCASTLE,9/19,39590,258,84.3,836,33097240,39251872,46952,2019,9,2019/9/19
MELBOURNE,GOLD COAST,9/19,186828,1058,93.1,1330,249020356,267527108,200714,2019,9,2019/9/19
MELBOURNE,PERTH,9/19,170156,1012,83,2706,460442136,554545992,204932,2019,9,2019/9/19
MELBOURNE,SYDNEY,9/19,747723,4976,84.4,706,530438205,628138988,885572,2019,9,2019/9/19
MELBOURNE,TOWNSVILLE,9/19,0,0,0,2055,0,0,0,2019,9,2019/9/19
GOLD COAST,SYDNEY,9/19,227457,1528,86.2,680,154670760,179531560,264017,2019,9,2019/9/19
PERTH,PORT HEDLAND,9/19,32415,396,64.5,1312,42528480,65924064,50247,2019,9,2019/9/19
PERTH,SYDNEY,9/19,135822,740,83.2,3284,446039448,535922528,163192,2019,9,2019/9/19
PERTH,NEWMAN,9/19,29139,349,60.6,1019,29692641,49020014,48106,2019,9,2019/9/19
PROSERPINE,SYDNEY,9/19,9697,63,84.8,1517,14710349,17339310,11430,2019,9,2019/9/19
PORT MACQUARIE,SYDNEY,9/19,16172,356,70.8,321,5191212,7334208,22848,2019,9,2019/9/19
BALLINA,SYDNEY,9/19,35867,278,84.3,612,21950604,26038152,42546,2019,9,2019/9/19
SYDNEY,TAMWORTH,9/19,15271,339,71.1,320,4886720,6868480,21464,2019,9,2019/9/19
SYDNEY,TOWNSVILLE,9/19,16365,112,83.2,1690,27656850,33259200,19680,2019,9,2019/9/19
SYDNEY,WAGGA WAGGA,9/1,16646,490,67.9,367,6109082,8998840,24520,2019,9,2019/9/1
ALBURY,SYDNEY,8/19,21380,525,75,452,9663760,12892396,28523,2019,8,2019/8/19
ADELAIDE,ALICE SPRINGS,8/19,12776,122,75.4,1316,16813216,22293040,16940,2019,8,2019/8/19
ADELAIDE,BRISBANE,8/19,73765,537,79.2,1622,119646830,151021176,93108,2019,8,2019/8/19
ADELAIDE,CANBERRA,8/19,16875,159,64,972,16402500,25635528,26374,2019,8,2019/8/19
ADELAIDE,MELBOURNE,8/19,212024,1571,82.2,643,136274512,165783375,257925,2019,8,2019/8/19
ADELAIDE,GOLD COAST,8/19,18137,114,89.4,1607,29146159,32618886,20298,2019,8,2019/8/19
ADELAIDE,PERTH,8/19,55413,484,76,2120,117475560,154647640,72947,2019,8,2019/8/19
ADELAIDE,PORT LINCOLN,8/19,13768,642,55.8,246,3386928,6065868,24658,2019,8,2019/8/19
ADELAIDE,SYDNEY,8/19,149036,1020,86.1,1167,173925012,201894501,173003,2019,8,2019/8/19
ARMIDALE,SYDNEY,8/19,10350,371,65.3,382,3953700,6050880,15840,2019,8,2019/8/19
ALICE SPRINGS,DARWIN,8/19,12610,161,47.6,1305,16456050,34595550,26510,2019,8,2019/8/19
ALICE SPRINGS,MELBOURNE,8/19,0,0,0,1860,0,0,0,2019,8,2019/8/19
ALICE SPRINGS,SYDNEY,8/19,0,0,0,2022,0,0,0,2019,8,2019/8/19
AYERS ROCK,SYDNEY,8/19,19685,124,88.8,2181,42932985,48326598,22158,2019,8,2019/8/19
BUNDABERG,BRISBANE,8/19,13344,308,69.4,287,3829728,5518436,19228,2019,8,2019/8/19
BROOME,PERTH,8/19,33666,338,84.2,1677,56457882,67029690,39970,2019,8,2019/8/19
BRISBANE,CANBERRA,8/19,60733,566,77.8,956,58060748,74595724,78029,2019,8,2019/8/19
BRISBANE,CAIRNS,8/19,115839,932,86.6,1391,161132049,186165876,133836,2019,8,2019/8/19
BRISBANE,DARWIN,8/19,35716,257,85.2,2852,101862032,119547284,41917,2019,8,2019/8/19
BRISBANE,EMERALD,8/19,18119,378,70.8,653,11831707,16716800,25600,2019,8,2019/8/19
BRISBANE,GLADSTONE,8/19,21419,431,65.9,434,9295846,14104132,32498,2019,8,2019/8/19
BRISBANE,HOBART,8/19,18642,126,83.3,1791,33387822,40068252,22372,2019,8,2019/8/19
BRISBANE,HAMILTON ISLAND,8/19,12628,124,80.6,888,11213664,13918512,15674,2019,8,2019/8/19
BRISBANE,MOUNT ISA,8/19,13501,147,77.2,1573,21237073,27521208,17496,2019,8,2019/8/19
BRISBANE,MELBOURNE,8/19,306282,2108,85.4,1381,422975442,495523515,358815,2019,8,2019/8/19
BRISBANE,MACKAY,8/19,69350,688,78.3,797,55271950,70552034,88522,2019,8,2019/8/19
BRISBANE,MORANBAH,8/19,0,0,0,780,0,0,0,2019,8,2019/8/19
BRISBANE,NEWCASTLE,8/19,53449,504,76.8,614,32817686,42712910,69565,2019,8,2019/8/19
BRISBANE,PERTH,8/19,79154,513,82.9,3615,286141710,345077055,95457,2019,8,2019/8/19
BRISBANE,PROSERPINE,8/19,22714,144,88.2,895,20329030,23048040,25752,2019,8,2019/8/19
BRISBANE,ROCKHAMPTON,8/19,47484,669,83.5,518,24596712,29453998,56861,2019,8,2019/8/19
BRISBANE,SYDNEY,8/19,413613,2972,84.3,753,311450589,369241080,490360,2019,8,2019/8/19
BRISBANE,TOWNSVILLE,8/19,91854,756,80.9,1112,102141648,126265376,113548,2019,8,2019/8/19
CANBERRA,MELBOURNE,8/19,101284,971,65.7,470,47603480,72462720,154176,2019,8,2019/8/19
CANBERRA,SYDNEY,8/19,84536,1434,75.7,236,19950496,26356716,111681,2019,8,2019/8/19
COFFS HARBOUR,SYDNEY,8/19,25851,389,75.2,443,11451993,15229454,34378,2019,8,2019/8/19
CAIRNS,MELBOURNE,8/19,82117,462,90.9,2311,189772387,208662501,90291,2019,8,2019/8/19
CAIRNS,SYDNEY,8/19,98555,567,88,1971,194251905,220639653,111943,2019,8,2019/8/19
CAIRNS,TOWNSVILLE,8/19,12017,334,57,284,3412828,5987004,21081,2019,8,2019/8/19
DUBBO,SYDNEY,8/19,16197,524,67.2,310,5021070,7471000,24100,2019,8,2019/8/19
DARWIN,MELBOURNE,8/19,31277,186,90.8,3131,97928287,107862950,34450,2019,8,2019/8/19
DARWIN,PERTH,8/19,16405,124,76.6,2651,43489655,56768514,21414,2019,8,2019/8/19
DARWIN,SYDNEY,8/19,31432,207,86.3,3155,99167960,114860930,36406,2019,8,2019/8/19
GERALDTON,PERTH,8/19,0,0,0,370,0,0,0,2019,8,2019/8/19
