country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Australia,AUS,2021-03-02,50840,50840,,8933,6276,0.2,0.2,,243,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-03,61008,61008,,10168,6215,0.24,0.24,,241,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-04,71867,71867,,10859,6695,0.28,0.28,,260,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-05,76940,76940,,5073,6706,0.3,0.3,,260,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-06,81345,81345,,4405,7064,0.32,0.32,,274,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-07,86369,86369,,5024,7524,0.33,0.33,,292,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-08,94908,94908,,8539,7572,0.37,0.37,,294,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-09,106200,106200,,11292,7909,0.41,0.41,,307,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-10,125000,125000,,18800,9142,0.48,0.48,,355,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-11,135103,135103,,10103,9034,0.52,0.52,,350,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-12,159294,159294,,24191,11765,0.62,0.62,,456,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-13,162551,,,3257,11601,0.63,,,450,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-14,164781,,,2230,11202,0.64,,,434,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-15,182437,,,17656,12504,0.71,,,485,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-16,203557,,,21120,13908,0.79,,,539,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-17,226057,,,22500,14437,0.88,,,560,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-18,240754,,,14697,15093,0.93,,,585,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-19,253831,,,13077,13505,0.98,,,524,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-20,257019,,,3188,13495,1,,,523,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-21,282184,,,25165,16772,1.09,,,650,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-22,307525,,,25341,17870,1.19,,,693,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-23,355254,,,47729,21671,1.38,,,840,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-24,408410,,,53156,26050,1.58,,,1010,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-25,460155,,,51745,31343,1.78,,,1215,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-26,506465,,,46310,36091,1.96,,,1400,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-27,511520,,,5055,36357,1.98,,,1410,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-28,541761,,,30241,37082,2.1,,,1438,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-29,597523,,,55762,41428,2.32,,,1606,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-30,670349,,,72826,45014,2.6,,,1746,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
Australia,AUS,2021-03-31,744328,,,73979,47988,2.89,,,1861,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/covid-live.json
