location,date,vaccine,total_vaccinations
Austria,2021/7/23,Pfizer/BioNTech,6614750
Austria,2021/7/30,Johnson&Johnson,200835
Austria,2021/7/30,Moderna,963971
Austria,2021/7/30,Oxford/AstraZeneca,1562171
Austria,2021/7/30,Pfizer/BioNTech,6824407
Austria,2021/8/6,Johnson&Johnson,215946
Austria,2021/8/6,Moderna,981766
Austria,2021/8/6,Oxford/AstraZeneca,1577723
Austria,2021/8/6,Pfizer/BioNTech,7001052
Austria,2021/8/13,Johnson&Johnson,226189
Austria,2021/8/13,Moderna,991210
Austria,2021/8/13,Oxford/AstraZeneca,1583682
Austria,2021/8/13,Pfizer/BioNTech,7125303
Austria,2021/8/20,Johnson&Johnson,239522
Austria,2021/8/20,Moderna,1005172
Austria,2021/8/20,Oxford/AstraZeneca,1587045
Austria,2021/8/20,Pfizer/BioNTech,7217751
Austria,2021/8/27,Johnson&Johnson,253161
Austria,2021/8/27,Moderna,1008814
Austria,2021/8/27,Oxford/AstraZeneca,1589308
Austria,2021/8/27,Pfizer/BioNTech,7275397
Austria,2021/9/3,Johnson&Johnson,265922
Austria,2021/9/3,Moderna,1013555
Austria,2021/9/3,Oxford/AstraZeneca,1591674
Austria,2021/9/3,Pfizer/BioNTech,7323694
Austria,2021/9/10,Johnson&Johnson,279745
Austria,2021/9/10,Moderna,1016391
Austria,2021/9/10,Oxford/AstraZeneca,1593154
Austria,2021/9/10,Pfizer/BioNTech,7373325
Austria,2021/9/17,Johnson&Johnson,290969
Austria,2021/9/17,Moderna,1020287
Austria,2021/9/17,Oxford/AstraZeneca,1594491
Austria,2021/9/17,Pfizer/BioNTech,7431935
Austria,2021/9/24,Johnson&Johnson,304473
Austria,2021/9/24,Moderna,1022476
Austria,2021/9/24,Oxford/AstraZeneca,1595946
Austria,2021/9/24,Pfizer/BioNTech,7484956
Austria,2021/10/1,Johnson&Johnson,311668
Austria,2021/10/1,Moderna,1024938
Austria,2021/10/1,Oxford/AstraZeneca,1596930
Austria,2021/10/1,Pfizer/BioNTech,7534437
Austria,2021/10/8,Johnson&Johnson,314254
Austria,2021/10/8,Moderna,1025849
Austria,2021/10/8,Oxford/AstraZeneca,1597439
Austria,2021/10/8,Pfizer/BioNTech,7566430
